"REC_NUM","ID","sex","age","subsection","season","TOTLNGTH","head","skull","humerus","ulna","wtkg"
2593,1903,"Female",3,1,4,146,46,32,28,26,56.56
2594,2006,"Female",2,1,1,125,42,28,23,22,30.77
2596,1905,"Female",3,1,1,142,50,31,27,27,61.09
2599,2102,"Male",9,NA,1,190,67,42,35,32,183.7
2601,1906,"Female",3,1,1,132,48,30,24,25,48.87
2602,1435,"Female",8,1,1,161,52,34,29,28,68.78
2603,2113,"Male",1,1,1,98,37,25,19,19,23.98
2604,2114,"Male",1,1,1,99,37,24,19,18,20.14
2605,2115,"Male",1,1,1,105,39,25,21,20,27.15
2606,1532,"Female",10,NA,1,158,54,30,30,30,108.6
2608,2007,"Female",2,1,1,123,41,27,21,22,32.13
2609,1903,"Female",3,1,1,139,45,30,26,26,50.68
2610,2109,"Female",6,NA,1,155,49,32,27,28,83.26
2611,1801,"Female",4,1,1,150,49,34,27,27,77.38
2614,56,"Female",29,1,1,164,54.5,35,29,30,105
2616,739,"Female",15,1,1,160,52,33,28,28,96.83
2621,2021,"Female",3,NA,1,155,49,32,27,28,58.37
2622,1802,"Female",4,2,1,146,49,33,30,28,63.35
2625,2015,"Female",2,1,1,129,43,26,24,25,47.51
2636,1922,"Female",4,NA,4,149,51,31,29,28,90.5
2637,2101,"Male",6,NA,4,176,60,38,32,30,133.9
2638,2007,"Female",3,1,4,141,47,32,25,24.5,56.56
2639,2102,"Male",10,NA,4,188,69,39,38,38,218.1
2640,1802,"Female",5,2,4,145,50,33,29,28,64.71
2641,2208,"Female",1,NA,4,91,33,23,17,17,15.38
2642,2209,"Female",1,NA,4,88,34,24,17,17,14.17
2643,2106,"Male",6,NA,1,185,62,42,36,32,126.7
2646,2007,"Female",3,1,1,134,47,29,24,25,50.23
2647,1801,"Female",5,1,1,161,49,33,28,28,71.49
2648,2202,"Female",1,NA,1,89,35,24,16,15,17.65
2649,2203,"Female",1,NA,1,87,34,24,18,17,17.65
2650,1532,"Female",11,NA,1,158,52,33.5,30.5,29.5,92.76
2651,2201,"Female",1,1,1,108,37,25,19,20,21.72
2652,431,"Female",19,1,1,155,53,35,29,27,91.86
2653,2215,"Male",1,NA,1,107,38,25,20,20,28.96
2654,2216,"Male",1,NA,1,106,40,27,21,20,28.96
2655,2217,"Female",1,NA,1,101,35,25,19,19,21.27
2661,2102,"Male",10,NA,1,179,66,40,33,30,183.3
2662,2101,"Male",6,NA,1,173,59,38,33,32,121.7
2663,2213,"Female",4,NA,1,148,48,31,26,27,67.42
2664,2109,"Female",7,NA,1,152,50,32,28,28,82.81
2668,1922,"Female",4,NA,1,146,48,32,29,27,67.87
2672,1435,"Female",9,1,1,156,51,34,29,27,86.88
2676,2021,"Female",4,NA,1,162,50,32,29,29,72.4
2677,2214,"Female",5,NA,1,144,48,32,27,28,61.54
2687,1922,"Female",5,NA,4,147,51,31,29,28,82.35
2688,2308,"Male",1,NA,4,102,38,25,19,19,26.24
2689,2217,"Female",2,NA,4,129,40,28,22,23,36.65
2690,2213,"Female",5,NA,4,145,53,31,NA,NA,98.64
2691,1922,"Female",5,NA,1,147,51,31,29,28,77.38
2692,2308,"Male",1,NA,1,96,38,24,19,20,24.89
2694,1435,"Female",10,1,1,173,51,33,31,28,82.81
2695,2310,"Male",1,NA,1,103,39,25,20,20,31.67
2696,2311,"Female",1,NA,1,111,37,24,18,19,27.15
2697,2312,"Female",1,NA,1,106,37,24,19,19,32.13
2698,2203,"Female",2,NA,1,115,39,29,22,21,26.92
2704,1802,"Female",6,2,1,151,51,34,30,29,84.62
2708,1801,"Female",6,1,1,155,50,34,29,29,85.07
2712,431,"Female",20,1,1,160,53,33,29,29,103.6
2716,2213,"Female",5,NA,1,152,51,31,28,28,75.11
2720,2217,"Female",2,NA,1,130,39,28,22,24,34.39
2721,2021,"Female",5,NA,1,171,50,33,29,28,72.4
2737,2217,"Female",3,NA,4,136,44,31,26,27,54.75
2738,1801,"Female",7,1,4,152,52,34,28,28,86.88
2739,2409,"Female",1,NA,4,100,36,23,19,20,23.53
2740,2311,"Female",2,NA,4,137,43,28,24,24,44.34
2741,2312,"Female",2,NA,4,130,43,28,26,26,42.08
2747,2213,"Female",6,NA,1,150,50,31,28,29,58.37
2748,2413,"Male",1,NA,1,99,39,24,18,19,19
2749,2414,"Female",1,NA,1,96,35,23,18,19,19.46
2750,2415,"Female",1,NA,1,91,36,24,17,17,14.48
2751,2021,"Female",6,NA,1,170,49,32,28,30,54.75
2752,2416,"Male",1,NA,1,82,33,23,16,16,12.67
2753,2417,"Female",1,NA,1,86,33,24,16,16,12.67
2754,2418,"Female",1,NA,1,80,32,23,15,15,9.05
2755,431,"Female",21,1,1,156,53,34,28,29,91.86
2756,2411,"Female",1,NA,1,111,37,27,20,20,26.7
2757,2412,"Female",1,NA,1,109,28,25,21,20,29.19
2758,1802,"Female",7,2,1,152,52,35,30,29,73.3
2759,2404,"Male",1,NA,1,101,36,26,19,18,20.36
2760,2405,"Female",1,NA,1,93,33,24,18,17,16.29
2761,2406,"Female",1,NA,1,91,33,24,17,17,14.48
2762,1801,"Female",7,1,1,148,51,34,27,27,78.73
2763,2409,"Female",1,NA,1,97,36,24,18,19,21.27
2765,2311,"Female",2,NA,1,135,43,28,23,24,41.18
2766,2217,"Female",3,NA,1,138,46,31,25,26,48.87
2767,1906,"Female",6,1,1,157,54,31,26,27,67.87
2768,2403,"Female",1,NA,1,104,37,25,18,19,27.6
2769,1922,"Female",6,NA,1,146,54,31,27,28,99.55
2773,1435,"Female",11,1,1,163,51,31,29,29,92.31
2779,1435,"Female",12,1,4,158,56,32,29,29,82.81
2780,2504,"Male",1,NA,4,101,37,25,18.25,18,20.36
2781,2505,"Female",1,NA,4,113,39,26,20,20.25,32.58
2782,2213,"Female",7,NA,4,151,53,32,27,28,95.02
2783,2414,"Female",2,NA,4,131,42,29,22,23,36.65
2784,1435,"Female",12,1,1,159,52,32,29,30,79.64
2785,2504,"Male",1,NA,1,103,36,25,16.5,NA,18.1
2786,2505,"Female",1,NA,1,116,38,24,21,22,29.41
2787,431,"Female",22,1,1,156,52,33,29,30,97.29
2791,2213,"Female",7,NA,1,152,52,32,27,28,75.11
2795,56,"Female",33,1,1,155,55,34,30,30,82.81
