City,Species,DBH,TF,BLVD,SidewalkDamage,SGR,Shape
5,4,7,2.2,10,0,110,210
5,4,11,3.7,11,0,110,210
5,4,21,8.9,15,1,110,210
5,4,6,2.4,11,0,110,210
5,4,9,3.4,6,0,110,210
5,4,11,4.9,15,0,110,210
5,4,9,3.2,15,0,110,210
5,4,11,4.7,9,1,110,210
1,4,7,2.9,7,0,110,210
1,4,17,5.9,13,1,110,210
1,4,22,9.2,12,0,110,210
1,4,8,3.2,11,1,110,210
1,4,6,2.5,11,1,110,210
1,4,12,5.4,9,0,110,210
3,4,26,10,9,1,110,210
3,4,36,14.7,10,1,110,210
3,4,35,14,10,1,110,210
3,4,27,11,10,1,110,210
3,4,28,10.5,10,1,110,210
3,4,14,4.6,10,1,110,210
3,4,14,4.2,10,1,110,210
3,4,20,6.8,10,1,110,210
3,4,18,6.7,10,1,110,210
3,4,14,5.1,10,1,110,210
3,4,20,7.5,10,1,110,210
3,4,12,4.3,10,1,110,210
3,4,10,3.9,10,1,110,210
3,4,11,4.7,10,1,110,210
3,4,12,5.1,9,1,110,210
3,4,20,8.7,9,1,100,210
3,4,13,4.5,4,0,110,210
6,5,20,7.9,6.5,0,110,210
6,5,22,10.2,6.5,1,120,210
6,5,22,10.7,8.5,1,110,200
6,5,18,6.4,9,0,100,210
6,5,17,7.5,9,0,110,200
6,5,14,4.4,9,1,110,200
6,5,5,1.7,6.5,0,110,210
6,5,18,5.7,12,0,110,210
6,5,14,8,12,0,110,220
6,5,22,7.9,6.5,0,110,210
6,5,4,1.5,10.5,0,110,210
6,5,19,6.4,10.5,0,110,210
6,5,14,4.5,10.5,0,110,210
4,5,23,8.3,5,0,110,210
4,5,23,8.9,5,0,110,200
4,5,19,6.3,5,0,100,200
4,5,25,9.9,5,0,100,210
4,5,22,7.8,5,0,100,210
6,5,10,3.2,10,0,110,200
4,5,12,3.8,11,0,110,210
4,5,9,3.1,8,0,110,210
2,5,6,2.3,9,1,110,210
2,5,26,7.8,9,0,110,210
2,5,17,5.3,5.8,0,100,210
2,5,15,5.2,9,0,120,210
2,5,18,6.5,10,1,110,200
2,5,14,5.7,4,0,110,200
4,5,17,6.6,2.3,0,110,210
4,5,21,6.7,2.3,0,120,210
4,5,14,3.2,2.3,0,110,210
4,5,18,7.2,2.3,0,110,210
4,5,20,7.9,2.3,0,120,200
4,5,15,5.4,2.3,0,110,210
4,5,21,6.5,2.3,0,110,210
4,5,18,6.4,2.3,0,120,210
4,5,17,6.5,5,0,120,210
4,5,20,7.9,5,0,100,210
4,5,21,8.7,5,0,110,210
4,5,23,8.9,5,0,110,210
4,5,17,7.2,5,0,110,210
4,5,28,9.3,5,0,110,210
4,5,21,7.4,5,0,110,210
4,5,7,2.1,13.8,0,110,210
4,5,11,4.3,6,0,120,220
4,5,18,6.7,4,0,110,210
4,5,21,8.9,4,0,110,210
4,5,20,7.8,4,0,120,200
4,5,9,4,11,0,110,200
4,5,23,8.1,11,0,110,200
4,5,24,9.4,11,0,110,210
4,5,18,7,11,0,100,200
4,5,10,3.4,11,0,110,210
4,5,22,6.4,11,0,110,210
4,5,22,7.4,11,0,110,200
4,5,22,8.3,11,0,100,200
4,5,21,7.3,11,0,110,210
4,5,23,8.1,11,0,120,200
4,5,10,3.9,11,0,110,200
4,5,10,3.7,16,0,110,210
4,5,5,2.3,20,0,110,210
4,5,22,8.5,9,1,110,210
4,5,10,4.1,7,0,110,210
4,5,8,3.1,7,0,110,210
4,5,9,3.5,7,0,110,210
1,5,12,3.6,8,0,110,210
1,5,12,3.7,8,0,110,210
3,5,4,1.5,8,1,110,210
3,5,7,2.5,9,0,110,210
3,5,7,2.4,8,1,110,210
3,5,5,1.9,8,0,110,210
5,5,21,6.6,8,0,110,210
3,5,9,2.9,9,1,110,210
6,6,15,6,5,0,110,210
3,6,12,5,10,0,110,210
3,6,13,4.4,10,0,110,210
3,6,12,4.9,10,1,110,210
3,6,8,2.6,5,0,110,210
3,6,8,2.3,5,0,110,210
3,6,19,6.5,9,1,110,210
3,6,18,7.7,9,1,110,210
3,6,16,5.6,9,1,110,210
3,6,16,6.8,9,1,110,210
3,6,19,7,9,1,110,210
3,6,18,6.7,9,1,110,210
