year,strtno,pairs,agr_area,DEPLY,CYLDR,CLUTCH,prcnt_area,nest_id,date
1997,102,119.667,20.69475288,1,1,11,0.643295898,1997_102_1,111
1997,102,119.667,20.69475288,1,1,11,0.643295898,1997_102_1,164
1997,69,234.5,20.75998072,2,2,10,0.645323504,1997_ 69_2,126
1998,56,190.25,20.81085431,2,1,11,0.646904908,1998_ 56_1,94
1998,56,190.25,20.81085431,2,2,11,0.646904908,1998_ 56_2,108
1999,42,110.333,20.85494641,2,2,11,0.64827551,1999_ 42_2,100
1999,41,108,20.87423023,2,1,10,0.648874947,1999_ 41_1,155
1999,43,119.5,21.00666781,1,1,11,0.652991767,1999_ 43_1,98
1999,102,119.667,21.01016133,1,1,17,0.653100362,1999_102_1,114
1999,102,119.667,21.01016133,1,1,12,0.653100362,1999_102_1,166
1999,110,212.75,21.02982474,1,1,12,0.653711599,1999_110_1,98
1997,40,147,21.05330442,1,1,11,0.654441464,1997_ 40_1,116
1997,40,147,21.05330442,1,1,12,0.654441464,1997_ 40_1,168
1997,68,234.5,21.08029623,1,1,10,0.655280504,1997_ 68_1,140
1998,60,158.5,21.0858451,1,1,12,0.655452991,1998_ 60_1,101
1998,60,158.5,21.0858451,1,1,6,0.655452991,1998_ 60_1,158
1999,96,125.25,21.25597534,2,1,10,0.660741485,1999_ 96_1,141
1999,96,125.25,21.25597534,2,2,11,0.660741485,1999_ 96_2,110
1998,59,214.75,21.36070417,2,1,10,0.663996978,1998_ 59_1,125
1998,59,214.75,21.36070417,2,2,13,0.663996978,1998_ 59_2,103
1999,65,164.75,21.37760916,1,1,11,0.66452247,1999_ 65_1,100
1999,24,208.75,21.47795582,2,1,12,0.667641743,1999_ 24_1,116
1998,51,106.25,21.52789879,1,1,10,0.669194219,1998_ 51_1,109
1997,55,179.75,21.57342523,2,1,13,0.670609407,1997_ 55_1,112
1999,66,143.25,21.620141,1,1,11,0.672061566,1999_ 66_1,105
1997,61,176,21.63869045,2,2,11,0.672638175,1997_ 61_2,132
1999,98,119.333,21.66717475,1,1,12,0.673523609,1999_ 98_1,119
1998,102,119.667,21.67260489,1,1,15,0.673692405,1998_102_1,107
1998,102,119.667,21.67260489,1,1,10,0.673692405,1998_102_1,164
1998,41,108,21.82011849,2,1,12,0.678277861,1998_ 41_1,112
1998,42,110.333,21.8571382,2,2,11,0.679428618,1998_ 42_2,99
1997,60,158.5,21.91481155,1,1,11,0.681221393,1997_ 60_1,112
1998,110,212.75,21.9183969,1,1,11,0.681332843,1998_110_1,99
1997,59,214.75,22.00035318,2,1,10,0.683880452,1997_ 59_1,136
1999,63,188.75,22.03797167,2,1,8,0.685049822,1999_ 63_1,118
1998,43,119.5,22.06011121,1,1,10,0.685738029,1998_ 43_1,102
1997,51,106.25,22.21112277,1,1,10,0.69043222,1997_ 51_1,119
1997,110,212.75,22.21523187,1,1,11,0.690559951,1997_110_1,109
1998,24,208.75,22.26425614,2,1,11,0.69208387,1998_ 24_1,110
1997,41,108,22.27548056,2,1,8,0.69243278,1997_ 41_1,162
1997,41,108,22.27548056,2,2,10,0.69243278,1997_ 41_2,114
1997,42,110.333,22.31021902,2,1,10,0.693512625,1997_ 42_1,157
1998,66,143.25,22.32382595,1,1,10,0.693935596,1998_ 66_1,100
1999,51,106.25,22.33930194,1,1,10,0.694416666,1999_ 51_1,112
1998,98,119.333,22.34236389,1,1,12,0.694511847,1998_ 98_1,119
1999,12,192,22.36665659,2,1,14,0.695266985,1999_ 12_1,105
1999,12,192,22.36665659,2,2,10,0.695266985,1999_ 12_2,128
1997,43,119.5,22.38502577,1,1,11,0.695837991,1997_ 43_1,119
1997,24,208.75,22.53473935,2,1,11,0.700491834,1997_ 24_1,113
1997,66,143.25,22.66043896,1,1,9,0.704399203,1997_ 66_1,122
1998,64,165.75,23.01784104,1,1,9,0.715509038,1998_ 64_1,117
1998,12,192,23.24104057,2,1,12,0.72244719,1998_ 12_1,94
1997,46,111,23.29919449,1,1,11,0.724254903,1997_ 46_1,104
1997,12,192,23.34760168,2,1,11,0.72575964,1997_ 12_1,108
1999,31,81.5,23.39797935,2,2,13,0.727325628,1999_ 31_2,102
1998,31,81.5,23.59259568,2,2,11,0.733375272,1998_ 31_2,103
1997,31,81.5,23.68314455,2,1,12,0.736189982,1997_ 31_1,123
1999,30,81.5,23.76437613,2,1,10,0.738715063,1999_ 30_1,128
1999,46,111,23.85984862,1,1,10,0.741682824,1999_ 46_1,140
1997,30,81.5,24.06354324,2,1,9,0.748014666,1997_ 30_1,142
1997,30,81.5,24.06354324,2,2,10,0.748014666,1997_ 30_2,113
1999,47,101.75,24.30100758,2,1,12,0.755396239,1999_ 47_1,104
1999,47,101.75,24.30100758,2,2,10,0.755396239,1999_ 47_2,127
1999,109,68,24.59309699,1,1,13,0.764475832,1999_109_1,92
1998,32,82.25,24.60214509,1,1,11,0.764757092,1998_ 32_1,97
1999,95,78.5,24.69971034,2,1,9,0.767789905,1999_ 95_1,140
1999,95,78.5,24.69971034,2,2,11,0.767789905,1999_ 95_2,111
1999,92,64,24.8634651,1,1,11,0.772880218,1999_ 92_1,101
1998,47,101.75,24.97397219,2,1,11,0.776315328,1998_ 47_1,106
1998,109,68,25.16662841,1,1,13,0.782304042,1998_109_1,99
1997,52,99.667,25.27996841,2,2,10,0.785827213,1997_ 52_2,117
1998,95,78.5,25.29584463,2,1,9,0.786320725,1998_ 95_1,163
1998,95,78.5,25.29584463,2,2,12,0.786320725,1998_ 95_2,125
1998,92,64,25.50997498,1,1,10,0.792976962,1998_ 92_1,109
1999,1,67,25.52993026,2,1,14,0.793597272,1999_  1_1,102
1999,1,67,25.52993026,2,2,8,0.793597272,1999_  1_2,131
1997,95,78.5,25.66327738,2,1,11,0.797742363,1997_ 95_1,111
1999,2,67,25.76509584,2,1,12,0.800907388,1999_  2_1,100
1997,109,68,25.78902013,1,1,11,0.801651074,1997_109_1,109
1998,1,67,26.05918137,2,1,7,0.810049029,1998_  1_1,126
1998,1,67,26.05918137,2,2,11,0.810049029,1998_  1_2,112
1998,2,67,26.39784294,2,1,11,0.820576316,1998_  2_1,101
1997,2,67,26.63225414,2,2,11,0.827862983,1997_  2_2,110
1997,6,94,27.26926202,2,2,8,0.847664357,1997_  6_2,124
