Route,Lat,Lon
500104,48.086498,-96.576401
500104,48.0793,-96.552597
500104,48.079498,-96.534599
500104,48.064602,-96.544403
500104,48.065201,-96.528
500104,48.057301,-96.525703
500104,48.0429,-96.524597
500104,48.032398,-96.522102
500104,48.020699,-96.431
500104,48.007,-96.433296
500106,48.6968,-94.606598
500106,48.684799,-94.605103
500106,48.672298,-94.611702
500106,48.6721,-94.622704
500106,48.661301,-94.626602
500106,48.652401,-94.626297
500106,48.644901,-94.626404
500106,48.626499,-94.625801
500106,48.618698,-94.6259
500106,48.6133,-94.637497
500107,48.195202,-93.4757
500107,48.215801,-93.444801
500107,48.231899,-93.443001
500107,48.243999,-93.444
500107,48.263802,-93.443703
500107,48.296398,-93.441597
500107,48.3223,-93.460197
500107,48.337502,-93.464996
500107,48.360001,-93.487999
500107,48.3815,-93.5214
500109,47.891201,-91.914001
500109,47.896301,-91.929703
500109,47.915001,-91.949997
500109,47.921101,-91.935997
500109,47.924099,-91.922699
500109,47.920898,-91.880402
500109,47.9254,-91.860802
500109,47.924599,-91.831001
500109,47.916801,-91.829399
500109,47.908901,-91.822197
500111,47.987499,-89.764099
500111,47.978298,-89.773499
500111,47.969002,-89.780296
500111,47.943901,-89.777397
500111,47.943501,-89.7547
500111,47.943699,-89.744301
500111,47.9631,-89.694199
500111,47.966,-89.6838
500111,47.9701,-89.6698
500111,47.969799,-89.6577
500113,47.647301,-96.231697
500113,47.657001,-96.237801
500113,47.673801,-96.242599
500113,47.686798,-96.244797
500113,47.701599,-96.253899
500113,47.709202,-96.288803
500113,47.7281,-96.317802
500113,47.7645,-96.341797
500113,47.778999,-96.352402
500113,47.789398,-96.359901
500114,47.123699,-95.9991
500114,47.109299,-95.9617
500114,47.108601,-95.9347
500114,47.0947,-95.910301
500114,47.094898,-95.903801
500114,47.0765,-95.891197
500114,47.071301,-95.889702
500114,47.063702,-95.880203
500114,47.0518,-95.868599
500114,47.035099,-95.850098
500115,47.1918,-94.75999
500115,47.2089,-94.7602
500115,47.2302,-94.7604
500115,47.2438,-94.75
500115,47.252,-94.7387
500115,47.2557,-94.7276
500115,47.2929,-94.7274
500115,47.3093,-94.7285
500115,47.3236,-94.7162
500115,47.3377,-94.7137
500116,46.982101,-93.665604
500116,46.974701,-93.666
500116,46.957901,-93.682999
500116,46.957802,-93.698097
500116,46.957699,-93.772102
500116,46.954201,-93.7995
500116,46.9552,-93.827904
500116,46.954899,-93.866997
500116,46.954899,-93.892502
500116,46.9552,-93.915398
500117,47.181999,-92.276497
500117,47.182598,-92.294899
500117,47.182301,-92.304298
500117,47.181999,-92.346703
500117,47.1726,-92.346603
500117,47.162998,-92.347099
500117,47.153198,-92.346497
500117,47.1418,-92.347
500117,47.128601,-92.3433
500117,47.121799,-92.343399
500118,47.596199,-91.043999
500118,47.603699,-91.044098
500118,47.602299,-91.0271
500118,47.6031,-91.007698
500118,47.606701,-90.9869
500118,47.6092,-90.971298
500118,47.610802,-90.951599
500118,47.612099,-90.941299
500118,47.631199,-90.908401
500118,47.645199,-90.904404
500119,47.7868,-90.179001
500119,47.831402,-90.1577
500119,47.853901,-90.143402
500119,47.866001,-90.204498
500119,47.904202,-90.255898
500119,47.911301,-90.300102
500119,47.805302,-90.301399
500119,47.755901,-90.313904
500119,47.796902,-90.275703
500119,47.776901,-90.222397
500120,47.086102,-95.976799
