strtno,year,period,rblval,deply,nesting2,size
12,1999,1,0.175130685,2,1,26.05
12,1999,2,0.283423955,2,0,26.05
12,1999,3,1.228167484,2,1,26.05
12,1999,4,1.98203201,2,0,26.05
13,1997,1,0.264081482,2,1,1.37
13,1997,2,0.27435165,2,0,1.37
13,1997,3,0.754387296,2,0,1.37
13,1997,4,1.71686561,2,0,1.37
13,1998,1,0.376697708,2,1,1.37
13,1998,2,0.429263567,2,0,1.37
13,1998,3,1.086391507,2,1,1.37
13,1998,4,1.922957133,2,0,1.37
13,1999,1,0.213043741,2,1,1.37
13,1999,2,0.294524649,2,NA,1.37
13,1999,3,1.032100858,2,NA,1.37
13,1999,4,1.833521738,2,1,1.37
14,1997,1,0.285833203,2,0,0
14,1997,2,0.294079177,2,0,0
14,1997,3,0.761991984,2,0,0
14,1997,4,1.696373365,2,0,0
14,1998,1,0.403324627,2,0,0
14,1998,2,0.447515234,2,0,0
14,1998,3,1.059605949,2,0,0
14,1998,4,1.978820707,2,0,0
14,1999,1,0.24845046,2,0,0
14,1999,2,0.321239322,2,0,0
14,1999,3,1.019557524,2,0,0
14,1999,4,1.801131832,2,0,0
15,1997,1,0.305951519,2,1,0
15,1997,2,0.31419168,2,0,0
15,1997,3,0.76265514,2,0,0
15,1997,4,1.673324333,2,0,0
15,1998,1,0.427270916,2,1,0
15,1998,2,0.468898147,2,0,0
15,1998,3,1.045317454,2,0,0
15,1998,4,1.970490337,2,0,0
15,1999,1,0.271116469,2,1,0
15,1999,2,0.337185772,2,0,0
15,1999,3,0.994549591,2,0,0
15,1999,4,1.776222905,2,1,0
16,1997,1,0.408375199,1,1,4.33
16,1997,2,0.414781997,1,NA,4.33
16,1997,3,0.785013502,1,NA,4.33
16,1997,4,1.851952557,1,NA,4.33
16,1998,1,0.514923787,1,1,4.33
16,1998,2,0.561275144,1,NA,4.33
16,1998,3,1.216462464,1,NA,4.33
16,1998,4,1.937863628,1,0,4.33
16,1999,1,0.317773982,1,1,4.33
16,1999,2,0.386204931,1,NA,4.33
16,1999,3,0.981767286,1,NA,4.33
16,1999,4,1.951782905,1,0,4.33
17,1997,1,0.422605291,2,0,0
17,1997,2,0.429131062,2,0,0
17,1997,3,0.783257657,2,0,0
17,1997,4,1.925241728,2,0,0
17,1998,1,0.521468279,2,0,0
17,1998,2,0.568672303,2,0,0
17,1998,3,1.246707316,2,0,0
17,1998,4,2.008020461,2,0,0
17,1999,1,0.324143411,2,1,0
17,1999,2,0.393248601,2,0,0
17,1999,3,1.003843366,2,0,0
17,1999,4,2.015654943,2,0,0
18,1997,1,0.440958123,2,1,4.59
18,1997,2,0.447438833,2,0,4.59
18,1997,3,0.828577298,2,0,4.59
18,1997,4,2.053265239,2,0,4.59
18,1998,1,0.522211987,2,1,4.59
18,1998,2,0.572390283,2,0,4.59
18,1998,3,1.34486596,2,0,4.59
18,1998,4,2.101880617,2,0,4.59
18,1999,1,0.319127617,2,0,4.59
18,1999,2,0.394131067,2,0,4.59
18,1999,3,1.061375859,2,0,4.59
18,1999,4,2.093388852,2,0,4.59
19,1997,1,0.447790769,1,0,4.59
19,1997,2,0.454316539,1,0,4.59
19,1997,3,0.823617858,1,0,4.59
19,1997,4,2.019219156,1,0,4.59
19,1998,1,0.535314063,1,0,4.59
19,1998,2,0.584612962,1,0,4.59
19,1998,3,1.326426768,1,0,4.59
19,1998,4,2.080884368,1,0,4.59
19,1999,1,0.328812253,1,0,4.59
19,1999,2,0.4008779,1,0,4.59
19,1999,3,1.041672718,1,0,4.59
19,1999,4,2.073049971,1,0,4.59
20,1997,1,0.306682678,2,0,0
20,1997,2,0.307614592,2,0,0
20,1997,3,0.86636154,2,0,0
20,1997,4,1.987496703,2,0,0
20,1998,1,0.363128487,2,0,0
20,1998,2,0.406919521,2,0,0
20,1998,3,1.267275121,2,0,0
20,1998,4,2.013033738,2,0,0
20,1999,1,0.249467532,2,0,0
20,1999,2,0.338238584,2,0,0
20,1999,3,1.153105304,2,0,0
20,1999,4,2.048612261,2,0,0
21,1997,1,0.207947925,2,0,0
21,1997,2,0.207947925,2,0,0
21,1997,3,0.788664201,2,0,0
21,1997,4,1.784698107,2,0,0
21,1998,1,0.204716029,2,0,0
21,1998,2,0.245748504,2,0,0
21,1998,3,1.107230203,2,0,0
21,1998,4,1.924301754,2,0,0
21,1999,1,0.189718371,2,0,0
21,1999,2,0.287689861,2,0,0
21,1999,3,1.15538922,2,0,0
21,1999,4,2.022613784,2,0,0
22,1997,1,0.235846835,2,0,11.1
22,1997,2,0.235846835,2,0,11.1
22,1997,3,0.803823793,2,1,11.1
22,1997,4,1.793350752,2,0,11.1
22,1998,1,0.236202024,2,1,11.1
22,1998,2,0.277271913,2,0,11.1
22,1998,3,1.136170472,2,0,11.1
22,1998,4,1.930786161,2,0,11.1
22,1999,1,0.21556987,2,1,11.1
22,1999,2,0.31155318,2,0,11.1
22,1999,3,1.169444155,2,0,11.1
22,1999,4,2.05866345,2,0,11.1
23,1997,1,0.285930001,1,0,0.38
23,1997,2,0.285930001,1,0,0.38
23,1997,3,0.832772465,1,0,0.38
23,1997,4,1.897102765,1,0,0.38
23,1998,1,0.314428151,1,0,0.38
23,1998,2,0.354447012,1,0,0.38
23,1998,3,1.194139771,1,0,0.38
23,1998,4,2.008963019,1,0,0.38
23,1999,1,0.24713403,1,0,0.38
23,1999,2,0.331166578,1,0,0.38
23,1999,3,1.122707119,1,0,0.38
23,1999,4,2.051148488,1,0,0.38
24,1997,1,0.233825882,2,0,5.05
24,1997,2,0.233825882,2,1,5.05
24,1997,3,0.89035979,2,0,5.05
24,1997,4,1.928119285,2,0,5.05
24,1998,1,0.265740337,2,0,5.05
24,1998,2,0.3116601,2,1,5.05
24,1998,3,1.24062043,2,0,5.05
24,1998,4,2.007343729,2,0,5.05
24,1999,1,0.204550195,2,0,5.05
24,1999,2,0.302480296,2,1,5.05
24,1999,3,1.181547147,2,1,5.05
24,1999,4,1.984353116,2,NA,5.05
25,1997,1,0.245956522,1,0,0.18
25,1997,2,0.255453656,1,0,0.18
25,1997,3,0.831223779,1,0,0.18
25,1997,4,1.964565805,1,0,0.18
25,1998,1,0.292271838,1,0,0.18
25,1998,2,0.369762022,1,0,0.18
25,1998,3,1.287868064,1,0,0.18
25,1998,4,1.983024359,1,0,0.18
25,1999,1,0.232311275,1,0,0.18
25,1999,2,0.358024271,1,0,0.18
25,1999,3,1.239028904,1,0,0.18
25,1999,4,1.970300565,1,0,0.18
26,1997,1,0.252752836,2,0,0
26,1997,2,0.262249971,2,0,0
26,1997,3,0.849508187,2,0,0
26,1997,4,1.942299141,2,0,0
26,1998,1,0.302771371,2,0,0
26,1998,2,0.379356064,2,0,0
26,1998,3,1.280857723,2,0,0
26,1998,4,1.967978097,2,0,0
26,1999,1,0.233262137,2,0,0
26,1999,2,0.359909215,2,0,0
26,1999,3,1.226811835,2,0,0
26,1999,4,1.894812839,2,0,0
27,1997,1,0.243634633,1,0,1.39
27,1997,2,0.243634633,1,0,1.39
27,1997,3,0.803141199,1,1,1.39
27,1997,4,1.820660852,1,NA,1.39
27,1998,1,0.269635587,1,0,1.39
27,1998,2,0.309824896,1,0,1.39
27,1998,3,1.153054384,1,0,1.39
27,1998,4,1.968887091,1,0,1.39
27,1999,1,0.221604606,1,0,1.39
27,1999,2,0.313558139,1,0,1.39
27,1999,3,1.149656809,1,0,1.39
27,1999,4,2.031329304,1,0,1.39
28,1997,1,0.377691604,2,0,0.93
28,1997,2,0.396607821,2,1,0.93
28,1997,3,0.921869279,2,0,0.93
28,1997,4,2.147931208,2,0,0.93
28,1998,1,0.462164002,2,1,0.93
28,1998,2,0.516822128,2,0,0.93
28,1998,3,1.419690584,2,0,0.93
28,1998,4,2.282310428,2,0,0.93
28,1999,1,0.248183249,2,0,0.93
28,1999,2,0.334916783,2,1,0.93
28,1999,3,1.119437662,2,0,0.93
28,1999,4,2.184389759,2,0,0.93
29,1997,1,0.086577618,1,0,0.45
29,1997,2,0.088009425,1,0,0.45
29,1997,3,0.846942639,1,0,0.45
29,1997,4,2.055197525,1,0,0.45
29,1998,1,0.116849349,1,0,0.45
29,1998,2,0.168099802,1,0,0.45
29,1998,3,1.116645346,1,0,0.45
29,1998,4,2.162473258,1,0,0.45
29,1999,1,0.078203402,1,0,0.45
29,1999,2,0.190631624,1,0,0.45
29,1999,3,1.221000405,1,0,0.45
29,1999,4,2.084362446,1,0,0.45
30,1997,1,0.165968455,2,0,26.41
30,1997,2,0.180038764,2,1,26.41
30,1997,3,0.964247313,2,0,26.41
30,1997,4,2.053159042,2,1,26.41
30,1998,1,0.191127966,2,0,26.41
30,1998,2,0.26083123,2,1,26.41
30,1998,3,1.201351154,2,0,26.41
30,1998,4,2.146675371,2,0,26.41
31,1997,1,0.159221534,2,0,6.42
31,1997,2,0.169665166,2,0,6.42
31,1997,3,0.949105699,2,1,6.42
31,1997,4,2.049489787,2,0,6.42
31,1998,1,0.184965483,2,1,6.42
31,1998,2,0.246342988,2,0,6.42
31,1998,3,1.178403255,2,0,6.42
31,1998,4,2.153508841,2,0,6.42
31,1999,1,0.140166134,2,1,6.42
31,1999,2,0.263002901,2,0,6.42
31,1999,3,1.329949951,2,0,6.42
